9100-SINT-NIKLAAS,0.485335,-0.0612086,0.383197,-0.0284385,-0.0599484,0.271632,-0.0558804,0.138817,-0.244845,0.0769702,0.0283153,0.015036,-0.109329,-0.647032,0.125615
2960-BRECHT,0.136875,-0.178838,-0.126997,-0.370499,0.0282442,0.292466,-0.111291,0.13778,-0.50916,-0.229148,-0.0953719,-0.0963803,-0.519032,0.27549,-0.0524914
Portugal,0.0691007,0.254625,0.113528,-0.220469,0.0121336,-0.176188,0.265439,-0.119891,0.523732,-0.377524,0.118043,0.0885427,-0.433923,-0.344267,0.0864439
9170-SINT-PAUWELS,0.279767,-0.343193,0.31265,-0.110492,0.141127,0.198676,0.401228,0.271264,-0.117549,-0.168931,0.23669,0.0540316,0.00977581,-0.545985,-0.023251
8650-HOUTHULST,0.00551459,0.0166108,0.46323,0.0387267,-0.186494,0.11931,0.468439,0.232437,-0.320342,0.179003,-0.0562379,0.00709027,-0.250107,0.502175,0.092347
9000-GENT,0.3705,-0.0871518,0.42709,-0.177663,-0.230776,-0.476591,0.068291,0.214649,-0.067887,-0.0949584,0.142274,0.250688,0.0870854,-0.138543,-0.431903
8710-WIELSBEKE,-0.0966619,0.178342,0.375683,0.116265,-0.575996,-0.175146,0.231457,0.0156268,-0.0515357,-0.485677,-0.19304,-0.218903,-0.200525,-0.0764476,-0.134741
3620-LANAKEN,-0.226841,0.00884708,-0.0947991,-0.0590954,0.0861734,-0.405177,0.127585,0.209235,-0.206033,-0.177013,-0.27793,-0.0859936,-0.565764,-0.441468,0.175865
9980-SINT-LAUREINS,0.484633,-0.224621,0.155002,0.0439515,0.190671,-0.13552,-0.222005,0.461576,-0.185845,-0.487064,-0.263465,-0.0855445,0.0867668,0.0131429,-0.124327
2250-OLEN,-0.226596,-0.0143968,0.226276,-0.159627,-0.161266,0.116906,-0.364662,0.335662,-0.016845,-0.485331,0.087717,0.432358,-0.361225,0.118563,-0.106986
3020-HERENT,0.0764868,-0.116632,0.0786249,-0.0397885,-0.0183686,0.0172507,0.121435,0.800566,0.391,-0.115687,0.0580192,0.217972,-0.000295577,-0.0373256,0.312985
3070-KORTENBERG,0.216951,0.0227736,-0.01229,-0.0963548,-0.0933111,-0.000133788,0.111026,0.625382,0.474803,-0.0933984,0.105659,-0.0522675,-0.0901053,0.0112418,0.523965
8020-OOSTKAMP,0.359167,0.130794,0.25059,0.146209,0.138914,-0.312611,0.0628126,0.352955,-0.100573,-0.336417,-0.208714,-0.227973,-0.317072,0.353796,-0.282211
3600-GENK,-0.321323,-0.0808764,0.0973215,-0.0374009,-0.160504,-0.250379,0.485955,0.178916,-0.159616,0.185373,0.121349,0.0780003,-0.499383,-0.321887,0.298466
9031-DRONGEN,0.390237,0.157692,0.271024,-0.0562455,0.0403062,-0.34389,0.0402819,0.07662,-0.103889,-0.683457,-0.143978,0.0707364,0.0102466,-0.336289,0.0449213
3730-HOESELT,-0.0808457,-0.0136139,0.124051,-0.12436,0.136257,-0.337865,0.0826753,0.281185,-0.263555,0.167734,0.0379612,-0.116974,-0.548551,-0.568124,0.0860963
Regio Geel - Mol,-0.188508,0.016363,0.17799,-0.00508969,-0.0575344,-0.0580627,-0.234519,0.139963,-0.0892225,-0.378685,0.415875,0.371496,-0.611751,0.120942,-0.00543792
2000-ANTWERPEN,0.419319,0.160804,-0.331088,0.133501,-0.024576,0.128176,0.37902,0.14148,-0.160273,-0.266515,-0.0199634,0.401151,-0.467082,-0.0946502,0.0707318
2861-ONZE-LIEVE-VROUW-WAVER,0.0685668,-0.302861,-0.224482,0.198676,-0.475165,0.173702,-0.164055,0.495914,-0.078727,-0.276556,-0.330252,-0.034958,-0.266277,0.00587321,0.144926
2221-BOOISCHOT,-0.177681,-0.0691156,-0.0767755,0.0130196,-0.407664,-0.00715146,-0.101985,0.619626,-0.0626558,-0.404717,-0.114175,0.443862,-0.0866265,0.101457,0.0379605
3500-HASSELT,-0.227218,0.215158,0.352713,-0.199195,0.153471,-0.220816,-0.337493,0.261465,0.125519,0.117061,-0.0338054,0.0916014,-0.49397,-0.344409,0.286006
9402-MEERBEKE,0.410967,-0.149832,0.0100166,-0.395679,-0.265987,-0.396184,-0.133852,0.00576063,-0.462569,-0.0169337,0.0335458,-0.325225,-0.123908,0.102995,0.24335
8980-PASSENDALE,-0.216726,0.0530033,0.558961,-0.141381,-0.011805,0.0938665,0.550995,0.13634,-0.175977,-0.198621,-0.33006,-0.0205261,-0.246557,0.21461,0.00581232
1730-MOLLEM,0.312874,-0.224171,0.211,0.0268627,-0.579882,-0.135508,-0.0501322,0.106779,-0.093465,0.220016,0.375166,-0.134083,-0.0979481,0.135801,0.440645
8890-MOORSLEDE,0.00579084,0.074918,0.442243,-0.132908,-0.277599,-0.093234,0.712641,0.155265,-0.0768887,0.00629202,-0.197776,-0.112908,-0.227792,0.210325,-0.0972146
1840-LONDERZEEL,0.483576,-0.466537,0.117373,0.142649,-0.470638,0.0633519,-0.0395933,0.251593,0.10802,0.109086,0.163637,-0.00318598,-0.163512,-0.00493232,0.383244
